Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,437236,0.9908365510992011,0.22357406614782194,0.9871794871794872,0.9487179487179487,0.6025641025641025,0.28205128205128205,0.038461538461538464
bass_2,78,437236,0.9887957885092155,0.35453478034044045,0.9871794871794872,0.9487179487179487,0.7435897435897436,0.3974358974358974,0.15384615384615385
bass_3,78,437236,0.9957130468296064,0.47537572661391075,0.9871794871794872,0.9615384615384616,0.8589743589743589,0.5256410256410257,0.21794871794871795
bass_4,78,437236,0.9939720695342373,0.1445666730543411,0.9871794871794872,0.8589743589743589,0.6025641025641025,0.20512820512820512,0.02564102564102564
bass_5,78,437236,0.9911586795466439,0.24636699262253686,0.9871794871794872,0.9358974358974359,0.6794871794871795,0.358974358974359,0.05128205128205128
bass_6,78,437236,0.991712757482845,0.11037407998449134,0.9871794871794872,0.8333333333333334,0.46153846153846156,0.10256410256410256,0.05128205128205128
bass_comb123456,78,437236,0.9947223244572959,0.36655151718982787,0.9871794871794872,0.9615384615384616,0.782051282051282,0.4230769230769231,0.16666666666666666
