Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,437236,0.9996439587930793,0.8416646153126373,1.0,0.994475138121547,0.9558011049723757,0.7734806629834254,0.430939226519337
bass_2,181,437236,0.9998099437202933,0.8828112043260076,1.0,1.0,0.9613259668508287,0.8287292817679558,0.6243093922651933
bass_3,181,437236,0.9998461455181366,0.8890589270100865,1.0,1.0,0.9723756906077348,0.8839779005524862,0.6187845303867403
bass_4,181,437236,0.9997639996585279,0.8470424687946079,1.0,1.0,0.9392265193370166,0.7900552486187845,0.5580110497237569
bass_5,181,437236,0.9989809162317439,0.8884411603131387,0.994475138121547,0.988950276243094,0.9779005524861878,0.856353591160221,0.6298342541436464
bass_6,181,437236,0.9977343739772834,0.8188092875427296,0.994475138121547,0.994475138121547,0.9281767955801105,0.7513812154696132,0.5138121546961326
bass_comb123456,181,437236,0.9998741971730098,0.9357385578527426,1.0,0.994475138121547,0.988950276243094,0.9060773480662984,0.7569060773480663
