Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,437236,0.997824606800459,0.7037844845627629,0.994475138121547,0.9834254143646409,0.8895027624309392,0.6408839779005525,0.18232044198895028
bass_2,181,437236,0.9974110470651676,0.848225516322072,0.994475138121547,0.9779005524861878,0.9502762430939227,0.7845303867403315,0.5138121546961326
bass_3,181,437236,0.999148884992208,0.716772843742192,1.0,0.9834254143646409,0.9060773480662984,0.6353591160220995,0.30386740331491713
bass_4,181,437236,0.999322691529497,0.6919484785536754,1.0,0.9834254143646409,0.861878453038674,0.585635359116022,0.3259668508287293
bass_5,181,437236,0.999728815049071,0.8551828497573555,1.0,0.988950276243094,0.9668508287292817,0.8066298342541437,0.5469613259668509
bass_6,181,437236,0.9967559903803547,0.5775017424516853,0.994475138121547,0.9779005524861878,0.7955801104972375,0.44751381215469616,0.27071823204419887
bass_comb123456,181,437236,0.9996091974856215,0.8567245966592674,1.0,0.994475138121547,0.9558011049723757,0.8121546961325967,0.580110497237569
