Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,2411,0.7848403152218997,0.48013806744393783,0.5869565217391305,0.41304347826086957,0.2608695652173913,0.15217391304347827,0.15217391304347827
bass_2,92,2411,0.7798541106883307,0.5791348348057795,0.6521739130434783,0.5108695652173914,0.391304347826087,0.34782608695652173,0.34782608695652173
bass_3,92,2411,0.9017636557084378,0.6055526013405845,0.7608695652173914,0.532608695652174,0.33695652173913043,0.2391304347826087,0.2391304347826087
bass_4,92,2411,0.8143112185093683,0.46033310692973245,0.5978260869565217,0.40217391304347827,0.2391304347826087,0.10869565217391304,0.10869565217391304
bass_5,92,2411,0.7501397579932556,0.4196561573775542,0.5760869565217391,0.34782608695652173,0.20652173913043478,0.06521739130434782,0.06521739130434782
bass_6,92,2411,0.7529935260490865,0.30718361758509033,0.532608695652174,0.2391304347826087,0.05434782608695652,0.03260869565217391,0.03260869565217391
bass_comb123456,92,2411,0.8771752655401872,0.5667473843095328,0.7065217391304348,0.4673913043478261,0.3695652173913043,0.16304347826086957,0.16304347826086957
