Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,437236,0.9876163568744674,0.30289118268773463,0.9613259668508287,0.8674033149171271,0.5580110497237569,0.27624309392265195,0.022099447513812154
bass_2,181,437236,0.9940213962860317,0.5786432648248417,0.9779005524861878,0.9337016574585635,0.8176795580110497,0.43646408839779005,0.27624309392265195
bass_3,181,437236,0.9948222583967827,0.21090588895772266,0.994475138121547,0.8839779005524862,0.5524861878453039,0.14917127071823205,0.03314917127071823
bass_4,181,437236,0.9934697642837131,0.3511098276184056,0.9834254143646409,0.9060773480662984,0.6022099447513812,0.292817679558011,0.09944751381215469
bass_5,181,437236,0.997644254877033,0.5966628705132112,0.994475138121547,0.9502762430939227,0.8066298342541437,0.4972375690607735,0.1878453038674033
bass_6,181,437236,0.9912485912888542,0.16321783478452365,0.988950276243094,0.861878453038674,0.4419889502762431,0.11602209944751381,0.011049723756906077
bass_comb123456,181,437236,0.9957299063342608,0.5061145183603074,0.994475138121547,0.9281767955801105,0.7292817679558011,0.43646408839779005,0.1878453038674033
