Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,65,437236,0.9949537549515594,0.3263738686847183,1.0,0.8769230769230769,0.6,0.4,0.13846153846153847
bass_2,65,437236,0.9971993297757873,0.45818688411764025,1.0,0.9384615384615385,0.7384615384615385,0.46153846153846156,0.3230769230769231
bass_3,65,437236,0.9964198880097845,0.3818313433065261,1.0,0.8923076923076924,0.6923076923076923,0.47692307692307695,0.2153846153846154
bass_4,65,437236,0.9974244854213568,0.30175936218619037,1.0,0.9384615384615385,0.6923076923076923,0.3384615384615385,0.13846153846153847
bass_5,65,437236,0.9913149350078149,0.18525852589966849,0.9692307692307692,0.8307692307692308,0.5692307692307692,0.2153846153846154,0.1076923076923077
bass_6,65,437236,0.9925447408440574,0.20794969515940373,0.9846153846153847,0.8615384615384616,0.5538461538461539,0.18461538461538463,0.1076923076923077
bass_comb123456,65,437236,0.9970048563810285,0.3802952133115562,1.0,0.9230769230769231,0.7230769230769231,0.4461538461538462,0.2
