Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,2411,0.847451896200386,0.5720005486034699,0.6956521739130435,0.5217391304347826,0.25,0.15217391304347827,0.15217391304347827
bass_2,92,2411,0.835892557661443,0.6051035779907598,0.6739130434782609,0.532608695652174,0.43478260869565216,0.3695652173913043,0.3695652173913043
bass_3,92,2411,0.9141209673056463,0.6754627763810963,0.782608695652174,0.5760869565217391,0.43478260869565216,0.34782608695652173,0.34782608695652173
bass_4,92,2411,0.8968586009774042,0.5772734551484797,0.7717391304347826,0.4782608695652174,0.2717391304347826,0.17391304347826086,0.17391304347826086
bass_5,92,2411,0.7631913512343786,0.44161787920565865,0.6086956521739131,0.3695652173913043,0.21739130434782608,0.13043478260869565,0.13043478260869565
bass_6,92,2411,0.826794763132743,0.45368633413609927,0.6086956521739131,0.43478260869565216,0.17391304347826086,0.08695652173913043,0.08695652173913043
bass_comb123456,92,2411,0.9175067174003211,0.6521125840714248,0.8043478260869565,0.5434782608695652,0.43478260869565216,0.25,0.25
