Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,44,437236,0.9969191279267531,0.28913102924471457,1.0,0.8863636363636364,0.6136363636363636,0.3409090909090909,0.13636363636363635
bass_2,44,437236,0.9957929418603975,0.3830052046702215,1.0,0.8863636363636364,0.7727272727272727,0.4772727272727273,0.25
bass_3,44,437236,0.9970741305506742,0.3486005128903525,1.0,0.9090909090909091,0.75,0.4318181818181818,0.20454545454545456
bass_4,44,437236,0.9974471348529066,0.24359083811756668,1.0,0.9090909090909091,0.5909090909090909,0.3409090909090909,0.1590909090909091
bass_5,44,437236,0.9945112073862337,0.2251904996579856,0.9772727272727273,0.8863636363636364,0.6818181818181818,0.3409090909090909,0.1590909090909091
bass_6,44,437236,0.997222739706204,0.20978781094623308,1.0,0.9545454545454546,0.5681818181818182,0.25,0.09090909090909091
bass_comb123456,44,437236,0.9983346834120788,0.34606507240284395,1.0,0.9318181818181818,0.75,0.4090909090909091,0.20454545454545456
