Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,437236,0.9332273265086437,0.012010349878765413,0.8076923076923077,0.3974358974358974,0.15384615384615385,0.02564102564102564,0.0
bass_2,78,437236,0.9844202544140336,0.025876273718780304,0.9871794871794872,0.6025641025641025,0.21794871794871795,0.02564102564102564,0.01282051282051282
bass_3,78,437236,0.9822586716649648,0.009138334082841738,0.9871794871794872,0.5384615384615384,0.05128205128205128,0.02564102564102564,0.0
bass_4,78,437236,0.9584415158298598,0.007149998999167452,0.9102564102564102,0.358974358974359,0.05128205128205128,0.01282051282051282,0.0
bass_5,78,437236,0.9749429457916408,0.01900104847240546,0.9230769230769231,0.6153846153846154,0.20512820512820512,0.02564102564102564,0.0
bass_6,78,437236,0.9429215425759626,0.0027654057344907376,0.8461538461538461,0.1794871794871795,0.01282051282051282,0.0,0.0
bass_comb123456,78,437236,0.9671544071370481,0.01379838249095058,0.9358974358974359,0.5128205128205128,0.10256410256410256,0.02564102564102564,0.01282051282051282
