Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,2411,0.9974174536138463,0.9867432827318517,0.994475138121547,0.994475138121547,0.8176795580110497,0.6353591160220995,0.6353591160220995
bass_2,181,2411,0.9984578050418088,0.9868039167231096,0.994475138121547,0.9613259668508287,0.9171270718232044,0.8784530386740331,0.8784530386740331
bass_3,181,2411,0.9993675396605338,0.9930800142646992,1.0,0.9834254143646409,0.9226519337016574,0.8674033149171271,0.8674033149171271
bass_4,181,2411,0.9983844763067983,0.9832797721119617,1.0,0.9613259668508287,0.8729281767955801,0.7182320441988951,0.7182320441988951
bass_5,181,2411,0.9930154379902427,0.9821486454420123,0.988950276243094,0.9779005524861878,0.8950276243093923,0.7458563535911602,0.7458563535911602
bass_6,181,2411,0.9928183670149017,0.9748803096656924,0.994475138121547,0.9558011049723757,0.8121546961325967,0.6906077348066298,0.6906077348066298
bass_comb123456,181,2411,0.9992804617877087,0.9950777340984178,0.994475138121547,0.994475138121547,0.9723756906077348,0.8342541436464088,0.8342541436464088
