Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,143,437236,0.9998869247741711,0.8838239077547545,1.0,1.0,0.986013986013986,0.8811188811188811,0.5034965034965035
bass_2,143,437236,0.999869763569459,0.914774881368934,1.0,1.0,0.9790209790209791,0.8601398601398601,0.7482517482517482
bass_3,143,437236,0.9998720826511768,0.9032700423729167,1.0,1.0,0.9790209790209791,0.8741258741258742,0.7202797202797203
bass_4,143,437236,0.9998538338771074,0.8665922129341836,1.0,1.0,0.972027972027972,0.8181818181818182,0.6293706293706294
bass_5,143,437236,0.9995949124017262,0.8793500040074524,1.0,0.986013986013986,0.972027972027972,0.8741258741258742,0.6993006993006993
bass_6,143,437236,0.9998140416335625,0.8541874947086623,1.0,1.0,0.958041958041958,0.7902097902097902,0.6223776223776224
bass_comb123456,143,437236,0.9999744261264356,0.9475260198842417,1.0,1.0,1.0,0.916083916083916,0.8391608391608392
