Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,65,2411,0.9579555243595059,0.7459563622120089,0.8769230769230769,0.7230769230769231,0.4153846153846154,0.2923076923076923,0.2923076923076923
bass_2,65,2411,0.9720320326707719,0.8186829743962527,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.5692307692307692,0.5692307692307692
bass_3,65,2411,0.9756564464154676,0.8329044694199463,0.9384615384615385,0.8153846153846154,0.5538461538461539,0.47692307692307695,0.47692307692307695
bass_4,65,2411,0.9763838815684522,0.790765302565923,0.9384615384615385,0.7846153846153846,0.47692307692307695,0.26153846153846155,0.26153846153846155
bass_5,65,2411,0.9269821012666305,0.6048606404706971,0.8153846153846154,0.5846153846153846,0.27692307692307694,0.13846153846153847,0.13846153846153847
bass_6,65,2411,0.947975624541365,0.6758576450949443,0.8769230769230769,0.6461538461538462,0.3230769230769231,0.16923076923076924,0.16923076923076924
bass_comb123456,65,2411,0.9796637207669974,0.8172885602600521,0.9384615384615385,0.7846153846153846,0.6461538461538462,0.2923076923076923,0.2923076923076923
