Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,437236,0.9492915004214221,0.13401703675496435,0.8695652173913043,0.5760869565217391,0.358695652173913,0.22826086956521738,0.010869565217391304
bass_2,92,437236,0.9402137617849995,0.24057656894941512,0.8369565217391305,0.6521739130434783,0.4782608695652174,0.2717391304347826,0.09782608695652174
bass_3,92,437236,0.9833085863091746,0.19245150738729802,0.967391304347826,0.6956521739130435,0.45652173913043476,0.25,0.08695652173913043
bass_4,92,437236,0.9740144810861272,0.09352114524428454,0.9239130434782609,0.5978260869565217,0.34782608695652173,0.17391304347826086,0.010869565217391304
bass_5,92,437236,0.9449976050144245,0.11899832634914492,0.8478260869565217,0.5869565217391305,0.34782608695652173,0.18478260869565216,0.05434782608695652
bass_6,92,437236,0.9482721648283068,0.02293102190492366,0.8695652173913043,0.4891304347826087,0.1956521739130435,0.043478260869565216,0.0
bass_comb123456,92,437236,0.9751410988076482,0.19360981927519733,0.9565217391304348,0.6739130434782609,0.41304347826086957,0.2608695652173913,0.11956521739130435
