Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,2411,0.6638639929309506,0.2914512887462018,0.42391304347826086,0.25,0.10869565217391304,0.043478260869565216,0.043478260869565216
bass_2,92,2411,0.7226344832560908,0.41756841135408934,0.5434782608695652,0.33695652173913043,0.2717391304347826,0.17391304347826086,0.17391304347826086
bass_3,92,2411,0.8484752853768056,0.33277776307239026,0.5760869565217391,0.2717391304347826,0.06521739130434782,0.03260869565217391,0.03260869565217391
bass_4,92,2411,0.6908237606621824,0.22962680347927364,0.43478260869565216,0.20652173913043478,0.05434782608695652,0.010869565217391304,0.010869565217391304
bass_5,92,2411,0.728463744071556,0.26101711647348325,0.4782608695652174,0.25,0.043478260869565216,0.010869565217391304,0.010869565217391304
bass_6,92,2411,0.6252006203451572,0.08978849601882474,0.358695652173913,0.043478260869565216,0.0,0.0,0.0
bass_comb123456,92,2411,0.7778118406578544,0.342658537840587,0.532608695652174,0.29347826086956524,0.18478260869565216,0.010869565217391304,0.010869565217391304
