Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,44,2411,0.9741054258889184,0.7427468980056899,0.9090909090909091,0.7954545454545454,0.36363636363636365,0.29545454545454547,0.29545454545454547
bass_2,44,2411,0.9570811809509445,0.7874122905458576,0.8863636363636364,0.7727272727272727,0.6818181818181818,0.5681818181818182,0.5681818181818182
bass_3,44,2411,0.9798838656159269,0.8216777288673092,0.9090909090909091,0.8636363636363636,0.5227272727272727,0.4318181818181818,0.4318181818181818
bass_4,44,2411,0.9763206515591418,0.675093057428052,0.9090909090909091,0.6818181818181818,0.36363636363636365,0.25,0.25
bass_5,44,2411,0.9519531691866823,0.6643491020928637,0.8636363636363636,0.6818181818181818,0.36363636363636365,0.20454545454545456,0.20454545454545456
bass_6,44,2411,0.9799969835224916,0.699227977740399,0.9545454545454546,0.6818181818181818,0.4090909090909091,0.25,0.25
bass_comb123456,44,2411,0.9903378454809397,0.8280964648071345,1.0,0.8409090909090909,0.6818181818181818,0.3409090909090909,0.3409090909090909
