Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,2411,0.9667336672728626,0.8006133866532382,0.9487179487179487,0.8076923076923077,0.3076923076923077,0.1794871794871795,0.1794871794871795
bass_2,78,2411,0.9628412511033831,0.863148518867606,0.9487179487179487,0.8333333333333334,0.6410256410256411,0.46153846153846156,0.46153846153846156
bass_3,78,2411,0.9824575396952006,0.9188131787822172,0.9743589743589743,0.8974358974358975,0.7692307692307693,0.47435897435897434,0.47435897435897434
bass_4,78,2411,0.952243456805879,0.7157066931051361,0.8589743589743589,0.6666666666666666,0.3974358974358974,0.11538461538461539,0.11538461538461539
bass_5,78,2411,0.9584702591753608,0.7245462532773341,0.9358974358974359,0.6923076923076923,0.3974358974358974,0.11538461538461539,0.11538461538461539
bass_6,78,2411,0.949738910336173,0.593932660194296,0.8846153846153846,0.5512820512820513,0.14102564102564102,0.08974358974358974,0.08974358974358974
bass_comb123456,78,2411,0.9806336343043104,0.8867212038288128,0.9743589743589743,0.8589743589743589,0.6538461538461539,0.24358974358974358,0.24358974358974358
