Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,2411,0.8907624243584426,0.5019162346456739,0.7564102564102564,0.5,0.16666666666666666,0.0,0.0
bass_2,78,2411,0.9390454008869605,0.758278872776909,0.8717948717948718,0.6923076923076923,0.5128205128205128,0.2692307692307692,0.2692307692307692
bass_3,78,2411,0.9640323729913113,0.7838892021822934,0.9102564102564102,0.7948717948717948,0.358974358974359,0.14102564102564102,0.14102564102564102
bass_4,78,2411,0.8734220293739164,0.4640208668308607,0.717948717948718,0.41025641025641024,0.14102564102564102,0.01282051282051282,0.01282051282051282
bass_5,78,2411,0.9277722830190686,0.5685642631123444,0.8333333333333334,0.5128205128205128,0.1794871794871795,0.038461538461538464,0.038461538461538464
bass_6,78,2411,0.8637228940007871,0.27742937200957424,0.7435897435897436,0.19230769230769232,0.038461538461538464,0.02564102564102564,0.02564102564102564
bass_comb123456,78,2411,0.9443629093152112,0.7005533778437341,0.8974358974358975,0.6025641025641025,0.41025641025641024,0.07692307692307693,0.07692307692307693
