Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,92,437236,0.9679720771629847,0.20502254535717768,0.9021739130434783,0.6956521739130435,0.43478260869565216,0.21739130434782608,0.08695652173913043
bass_2,92,437236,0.9761180485754981,0.3013057916650094,0.9456521739130435,0.6956521739130435,0.5108695652173914,0.34782608695652173,0.16304347826086957
bass_3,92,437236,0.9834078511773763,0.29551026380628503,0.967391304347826,0.7608695652173914,0.4673913043478261,0.358695652173913,0.16304347826086957
bass_4,92,437236,0.9882186174852542,0.19480463819748062,0.9891304347826086,0.7717391304347826,0.42391304347826086,0.2391304347826087,0.11956521739130435
bass_5,92,437236,0.9489316435219344,0.16100422720041357,0.8478260869565217,0.6195652173913043,0.3695652173913043,0.21739130434782608,0.09782608695652174
bass_6,92,437236,0.971488435058651,0.10282996850060643,0.9456521739130435,0.5869565217391305,0.33695652173913043,0.08695652173913043,0.05434782608695652
bass_comb123456,92,437236,0.9849591475223608,0.28474386841622107,0.9565217391304348,0.7608695652173914,0.4891304347826087,0.2826086956521739,0.20652173913043478
