Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,67,2411,0.9915375424825271,0.9071130974146586,0.9850746268656716,0.9104477611940298,0.5522388059701493,0.373134328358209,0.373134328358209
bass_2,67,2411,0.995239480738159,0.931151092365065,0.9850746268656716,0.9104477611940298,0.7761194029850746,0.6119402985074627,0.6119402985074627
bass_3,67,2411,0.998019029695983,0.9613328066780067,1.0,0.9552238805970149,0.8656716417910447,0.7313432835820896,0.7313432835820896
bass_4,67,2411,0.9706383057751475,0.8340888568945775,0.9253731343283582,0.8656716417910447,0.5522388059701493,0.2537313432835821,0.2537313432835821
bass_5,67,2411,0.975466920891189,0.8229898226517849,0.9552238805970149,0.7910447761194029,0.4925373134328358,0.31343283582089554,0.31343283582089554
bass_6,67,2411,0.991518970885927,0.8364111661571677,0.9850746268656716,0.8059701492537313,0.5074626865671642,0.3283582089552239,0.3283582089552239
bass_comb123456,67,2411,0.996849019110173,0.9373339305856995,1.0,0.9253731343283582,0.8059701492537313,0.3880597014925373,0.3880597014925373
