Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,2411,0.9892848385965798,0.9609976562611486,0.9834254143646409,0.9337016574585635,0.6850828729281768,0.43646408839779005,0.43646408839779005
bass_2,181,2411,0.9878503452179352,0.9752300061839932,0.9779005524861878,0.9558011049723757,0.9005524861878453,0.850828729281768,0.850828729281768
bass_3,181,2411,0.9945805481781246,0.9741513029958071,0.9834254143646409,0.9723756906077348,0.8176795580110497,0.6132596685082873,0.6132596685082873
bass_4,181,2411,0.9945255516268667,0.9557902910428043,0.9834254143646409,0.9005524861878453,0.7403314917127072,0.4972375690607735,0.4972375690607735
bass_5,181,2411,0.9970416438469171,0.9811372227704898,0.988950276243094,0.9723756906077348,0.8453038674033149,0.7016574585635359,0.7016574585635359
bass_6,181,2411,0.9887898696352583,0.9344975356270737,0.988950276243094,0.861878453038674,0.5359116022099447,0.3867403314917127,0.3867403314917127
bass_comb123456,181,2411,0.9975022399637022,0.9884964032626277,0.994475138121547,0.9834254143646409,0.9116022099447514,0.6629834254143646,0.6629834254143646
