Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,54,437236,0.9995615555359034,0.5551083761902271,1.0,1.0,0.8703703703703703,0.5740740740740741,0.3148148148148148
bass_2,54,437236,0.999731732299499,0.5935398652895056,1.0,1.0,0.9259259259259259,0.6111111111111112,0.42592592592592593
bass_3,54,437236,0.9998486705882712,0.712505804254963,1.0,1.0,0.9444444444444444,0.7962962962962963,0.5185185185185185
bass_4,54,437236,0.9989655980345219,0.40992821329167745,1.0,0.9814814814814815,0.7222222222222222,0.4444444444444444,0.2777777777777778
bass_5,54,437236,0.9992835253306716,0.4574819308355127,1.0,1.0,0.8148148148148148,0.5185185185185185,0.35185185185185186
bass_6,54,437236,0.9985133886505229,0.3279871301980139,1.0,0.9444444444444444,0.7407407407407407,0.3333333333333333,0.18518518518518517
bass_comb123456,54,437236,0.9996173352267087,0.601867336207235,1.0,1.0,0.8888888888888888,0.6296296296296297,0.4444444444444444
