Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,67,437236,0.998884751334127,0.47586800004831786,1.0,0.9850746268656716,0.8507462686567164,0.4626865671641791,0.1791044776119403
bass_2,67,437236,0.9994459428515875,0.5368377625403182,1.0,0.9850746268656716,0.8805970149253731,0.5671641791044776,0.29850746268656714
bass_3,67,437236,0.9995927265209963,0.6554865722259676,1.0,0.9850746268656716,0.9104477611940298,0.7313432835820896,0.40298507462686567
bass_4,67,437236,0.9967359066854568,0.3223881850902447,1.0,0.9253731343283582,0.746268656716418,0.34328358208955223,0.14925373134328357
bass_5,67,437236,0.997370148680251,0.4183731578402103,1.0,0.9701492537313433,0.7910447761194029,0.47761194029850745,0.23880597014925373
bass_6,67,437236,0.9987353733487008,0.3729711554309756,1.0,0.9850746268656716,0.7313432835820896,0.3582089552238806,0.19402985074626866
bass_comb123456,67,437236,0.99939531955351,0.5503803803350754,1.0,1.0,0.8805970149253731,0.5522388059701493,0.373134328358209
