Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,54,2411,0.997534448592101,0.9248990259266997,1.0,0.9629629629629629,0.6296296296296297,0.46296296296296297,0.46296296296296297
bass_2,54,2411,0.9984023841344455,0.9500573675056294,1.0,0.9444444444444444,0.8148148148148148,0.6851851851851852,0.6851851851851852
bass_3,54,2411,0.9994777025054918,0.9791576861956526,1.0,1.0,0.8703703703703703,0.7777777777777778,0.7777777777777778
bass_4,54,2411,0.9916048358603315,0.8391157815403563,0.9814814814814815,0.8518518518518519,0.5925925925925926,0.3888888888888889,0.3888888888888889
bass_5,54,2411,0.9926955159223928,0.8491066543405227,1.0,0.8148148148148148,0.5740740740740741,0.37037037037037035,0.37037037037037035
bass_6,54,2411,0.9896154968738959,0.8270297132289529,0.9629629629629629,0.8333333333333334,0.5185185185185185,0.3148148148148148,0.3148148148148148
bass_comb123456,54,2411,0.9980797886231316,0.9411178904668913,1.0,0.9074074074074074,0.8518518518518519,0.46296296296296297,0.46296296296296297
