Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,181,2411,0.9378493140325992,0.802604678519545,0.8784530386740331,0.6850828729281768,0.3149171270718232,0.14917127071823205,0.14917127071823205
bass_2,181,2411,0.9611999330875293,0.8926272800498215,0.9226519337016574,0.8287292817679558,0.6464088397790055,0.4972375690607735,0.4972375690607735
bass_3,181,2411,0.9662962801707642,0.8235355769206629,0.9116022099447514,0.6961325966850829,0.3370165745856354,0.14917127071823205,0.14917127071823205
bass_4,181,2411,0.9535554124626769,0.8198580662859577,0.9060773480662984,0.6740331491712708,0.4419889502762431,0.19889502762430938,0.19889502762430938
bass_5,181,2411,0.9795366998861114,0.8995479546088837,0.9447513812154696,0.8066298342541437,0.56353591160221,0.3149171270718232,0.3149171270718232
bass_6,181,2411,0.9501616669454687,0.7396537650746777,0.8895027624309392,0.5359116022099447,0.19889502762430938,0.08839779005524862,0.08839779005524862
bass_comb123456,181,2411,0.9788836158399233,0.9026105402369222,0.9613259668508287,0.7955801104972375,0.6740331491712708,0.23756906077348067,0.23756906077348067
