Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,143,2411,0.9993618989886098,0.9908862917110557,1.0,0.986013986013986,0.8951048951048951,0.7272727272727273,0.7272727272727273
bass_2,143,2411,0.9989094273623514,0.9912342617259976,0.993006993006993,0.986013986013986,0.972027972027972,0.9090909090909091,0.9090909090909091
bass_3,143,2411,0.9994054058757501,0.9935861388360132,1.0,0.993006993006993,0.9440559440559441,0.8601398601398601,0.8601398601398601
bass_4,143,2411,0.999141464093766,0.9882562341223172,1.0,0.9790209790209791,0.8951048951048951,0.7552447552447552,0.7552447552447552
bass_5,143,2411,0.9956406099085485,0.9799549063459545,0.986013986013986,0.972027972027972,0.9020979020979021,0.7902097902097902,0.7902097902097902
bass_6,143,2411,0.9988804227709246,0.9850371537257824,1.0,0.972027972027972,0.8601398601398601,0.7342657342657343,0.7342657342657343
bass_comb123456,143,2411,0.9999390903580037,0.998934790928955,1.0,1.0,0.993006993006993,0.8811188811188811,0.8811188811188811
