Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,2411,0.7043412138808239,0.20219114403922592,0.3974358974358974,0.20512820512820512,0.02564102564102564,0.02564102564102564,0.02564102564102564
bass_2,78,2411,0.8487222027246913,0.3371947188744221,0.5897435897435898,0.28205128205128205,0.1282051282051282,0.038461538461538464,0.038461538461538464
bass_3,78,2411,0.8754639526103649,0.21622895521387098,0.6282051282051282,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.02564102564102564
bass_4,78,2411,0.7347148220229929,0.1274723683210804,0.358974358974359,0.07692307692307693,0.05128205128205128,0.0,0.0
bass_5,78,2411,0.8043741824330791,0.23556556150489932,0.6153846153846154,0.20512820512820512,0.02564102564102564,0.0,0.0
bass_6,78,2411,0.67988067511087,0.06393750351744006,0.24358974358974358,0.02564102564102564,0.0,0.0,0.0
bass_comb123456,78,2411,0.8181837518212466,0.23326832347121154,0.6025641025641025,0.19230769230769232,0.038461538461538464,0.02564102564102564,0.02564102564102564
