Model,#pos,#neg,AUROC,AP,Rc|FPR1e-1,Rc|FPR1e-2,Rc|FPR1e-3,Rc|FPR1e-4,Rc|FPR1e-5
bass_1,78,437236,0.973660706850563,0.05553061869419654,0.9487179487179487,0.717948717948718,0.34615384615384615,0.10256410256410256,0.0
bass_2,78,437236,0.9891284727768914,0.1836186681628597,0.9615384615384616,0.8974358974358975,0.6794871794871795,0.1794871794871795,0.05128205128205128
bass_3,78,437236,0.9912569659617022,0.15791452113551982,0.9871794871794872,0.8846153846153846,0.5769230769230769,0.16666666666666666,0.0641025641025641
bass_4,78,437236,0.9739872335564366,0.05103646242271121,0.9358974358974359,0.717948717948718,0.34615384615384615,0.05128205128205128,0.01282051282051282
bass_5,78,437236,0.989219282152618,0.10634515918525303,0.9871794871794872,0.8461538461538461,0.5,0.14102564102564102,0.02564102564102564
bass_6,78,437236,0.9719424245686951,0.01589278379184279,0.9358974358974359,0.6666666666666666,0.10256410256410256,0.02564102564102564,0.0
bass_comb123456,78,437236,0.9836881789591538,0.11081750088709577,0.9743589743589743,0.8717948717948718,0.5,0.14102564102564102,0.038461538461538464
